Transaction_ID,Customer,Amount,Category,Date
TX001,Customer01,296.97,Entertainment,2025-05-17
TX002,Customer02,371.84,Utilities,2025-05-23
TX003,Customer03,321.24,Clothing,2025-05-03
TX004,Customer04,295.2,Electronics,2025-05-24
TX005,Customer05,240.64,Clothing,2025-04-28
TX006,Customer06,340.65,Clothing,2025-04-29
TX007,Customer07,246.91,Utilities,2025-05-05
TX008,Customer08,451.3,Electronics,2025-05-16
TX009,Customer09,483.65,Clothing,2025-05-11
TX010,Customer10,222.55,Clothing,2025-05-09
TX011,Customer11,406.28,Entertainment,2025-05-23
TX012,Customer12,288.0,Clothing,2025-05-15
TX013,Customer13,305.62,Electronics,2025-05-13
TX014,Customer14,466.52,Utilities,2025-05-16
TX015,Customer15,81.97,Utilities,2025-05-07
TX016,Customer16,89.21,Electronics,2025-05-06
TX017,Customer17,59.1,Entertainment,2025-04-27
TX018,Customer18,424.68,Entertainment,2025-05-20
TX019,Customer19,400.17,Entertainment,2025-05-09
TX020,Customer20,441.51,Entertainment,2025-05-11
